Cow_ID;Trt_details;Trt;Trt_order;Week;Period;Block;Sum_Steps;Experiment
2255;Outdoor;Exercise;I-S-O;3;2;3_S2020;1343;S2020
2255;Outdoor;Exercise;I-S-O;3;2;3_S2020;1113;S2020
2255;Outdoor;Exercise;I-S-O;3;2;3_S2020;1048;S2020
2255;Outdoor;Exercise;I-S-O;3;2;3_S2020;1101;S2020
2257;Outdoor;Exercise;S-O-I;2;2;3_S2020;872;S2020
2257;Outdoor;Exercise;S-O-I;2;2;3_S2020;974;S2020
2257;Outdoor;Exercise;S-O-I;2;2;3_S2020;1064;S2020
2257;Outdoor;Exercise;S-O-I;2;2;3_S2020;972;S2020
2257;Outdoor;Exercise;S-O-I;2;2;3_S2020;766;S2020
2260;Outdoor;Exercise;O-I-S;1;3;6_S2020;2758;S2020
2260;Outdoor;Exercise;O-I-S;1;3;6_S2020;2983;S2020
2260;Outdoor;Exercise;O-I-S;1;3;6_S2020;3064;S2020
2260;Outdoor;Exercise;O-I-S;1;3;6_S2020;2776;S2020
2263;Outdoor;Exercise;I-S-O;3;3;6_S2020;3268;S2020
2263;Outdoor;Exercise;I-S-O;3;3;6_S2020;2762;S2020
2263;Outdoor;Exercise;I-S-O;3;3;6_S2020;2128;S2020
2263;Outdoor;Exercise;I-S-O;3;3;6_S2020;1873;S2020
2265;Outdoor;Exercise;S-O-I;2;3;6_S2020;1209;S2020
2265;Outdoor;Exercise;S-O-I;2;3;6_S2020;1303;S2020
2265;Outdoor;Exercise;S-O-I;2;3;6_S2020;1135;S2020
2265;Outdoor;Exercise;S-O-I;2;3;6_S2020;1176;S2020
2265;Outdoor;Exercise;S-O-I;2;3;6_S2020;1165;S2020
3678;Outdoor;Exercise;I-S-O;3;1;2_S2020;966;S2020
3678;Outdoor;Exercise;I-S-O;3;1;2_S2020;524;S2020
3678;Outdoor;Exercise;I-S-O;3;1;2_S2020;553;S2020
3678;Outdoor;Exercise;I-S-O;3;1;2_S2020;643;S2020
3681;Outdoor;Exercise;O-I-S;1;1;2_S2020;2034;S2020
3681;Outdoor;Exercise;O-I-S;1;1;2_S2020;1467;S2020
3681;Outdoor;Exercise;O-I-S;1;1;2_S2020;1650;S2020
3681;Outdoor;Exercise;O-I-S;1;1;2_S2020;1108;S2020
3681;Outdoor;Exercise;O-I-S;1;1;2_S2020;1188;S2020
747;Outdoor;Exercise;S-O-I;2;1;2_S2020;1535;S2020
747;Outdoor;Exercise;S-O-I;2;1;2_S2020;1494;S2020
747;Outdoor;Exercise;S-O-I;2;1;2_S2020;1381;S2020
747;Outdoor;Exercise;S-O-I;2;1;2_S2020;1160;S2020
747;Outdoor;Exercise;S-O-I;2;1;2_S2020;1170;S2020
749;Outdoor;Exercise;O-S-I;1;3;5_S2020;1272;S2020
749;Outdoor;Exercise;O-S-I;1;3;5_S2020;1542;S2020
749;Outdoor;Exercise;O-S-I;1;3;5_S2020;1380;S2020
749;Outdoor;Exercise;O-S-I;1;3;5_S2020;1117;S2020
757;Outdoor;Exercise;I-O-S;2;3;5_S2020;960;S2020
757;Outdoor;Exercise;I-O-S;2;3;5_S2020;794;S2020
757;Outdoor;Exercise;I-O-S;2;3;5_S2020;706;S2020
757;Outdoor;Exercise;I-O-S;2;3;5_S2020;844;S2020
757;Outdoor;Exercise;I-O-S;2;3;5_S2020;1009;S2020
767;Outdoor;Exercise;S-I-O;3;3;5_S2020;1581;S2020
767;Outdoor;Exercise;S-I-O;3;3;5_S2020;1630;S2020
767;Outdoor;Exercise;S-I-O;3;3;5_S2020;1356;S2020
767;Outdoor;Exercise;S-I-O;3;3;5_S2020;1520;S2020
780;Outdoor;Exercise;I-O-S;2;1;1_S2020;1489;S2020
780;Outdoor;Exercise;I-O-S;2;1;1_S2020;1106;S2020
780;Outdoor;Exercise;I-O-S;2;1;1_S2020;968;S2020
780;Outdoor;Exercise;I-O-S;2;1;1_S2020;1000;S2020
780;Outdoor;Exercise;I-O-S;2;1;1_S2020;1063;S2020
8731;Outdoor;Exercise;O-S-I;1;1;1_S2020;924;S2020
8731;Outdoor;Exercise;O-S-I;1;1;1_S2020;730;S2020
8731;Outdoor;Exercise;O-S-I;1;1;1_S2020;735;S2020
8731;Outdoor;Exercise;O-S-I;1;1;1_S2020;786;S2020
8731;Outdoor;Exercise;O-S-I;1;1;1_S2020;584;S2020
8734;Outdoor;Exercise;O-S-I;1;2;4_S2020;1045;S2020
8734;Outdoor;Exercise;O-S-I;1;2;4_S2020;1102;S2020
8734;Outdoor;Exercise;O-S-I;1;2;4_S2020;978;S2020
8734;Outdoor;Exercise;O-S-I;1;2;4_S2020;1021;S2020
8734;Outdoor;Exercise;O-S-I;1;2;4_S2020;1179;S2020
8735;Outdoor;Exercise;S-I-O;3;1;1_S2020;1941;S2020
8735;Outdoor;Exercise;S-I-O;3;1;1_S2020;1550;S2020
8735;Outdoor;Exercise;S-I-O;3;1;1_S2020;1571;S2020
8735;Outdoor;Exercise;S-I-O;3;1;1_S2020;1720;S2020
8738;Outdoor;Exercise;S-I-O;3;2;4_S2020;1852;S2020
8738;Outdoor;Exercise;S-I-O;3;2;4_S2020;1377;S2020
8738;Outdoor;Exercise;S-I-O;3;2;4_S2020;1620;S2020
8738;Outdoor;Exercise;S-I-O;3;2;4_S2020;1714;S2020
8742;Outdoor;Exercise;I-O-S;2;2;4_S2020;968;S2020
8742;Outdoor;Exercise;I-O-S;2;2;4_S2020;917;S2020
8742;Outdoor;Exercise;I-O-S;2;2;4_S2020;970;S2020
8742;Outdoor;Exercise;I-O-S;2;2;4_S2020;943;S2020
8764;Outdoor;Exercise;O-I-S;1;2;3_S2020;1001;S2020
8764;Outdoor;Exercise;O-I-S;1;2;3_S2020;820;S2020
8764;Outdoor;Exercise;O-I-S;1;2;3_S2020;800;S2020
8764;Outdoor;Exercise;O-I-S;1;2;3_S2020;710;S2020
8764;Outdoor;Exercise;O-I-S;1;2;3_S2020;721;S2020
2255;Stall;No_Exercise;I-S-O;2;2;3_S2020;398;S2020
2255;Stall;No_Exercise;I-S-O;2;2;3_S2020;392;S2020
2255;Stall;No_Exercise;I-S-O;2;2;3_S2020;441;S2020
2255;Stall;No_Exercise;I-S-O;2;2;3_S2020;849;S2020
2255;Stall;No_Exercise;I-S-O;2;2;3_S2020;499;S2020
2257;Stall;No_Exercise;S-O-I;1;2;3_S2020;384;S2020
2257;Stall;No_Exercise;S-O-I;1;2;3_S2020;359;S2020
2257;Stall;No_Exercise;S-O-I;1;2;3_S2020;435;S2020
2257;Stall;No_Exercise;S-O-I;1;2;3_S2020;475;S2020
2257;Stall;No_Exercise;S-O-I;1;2;3_S2020;293;S2020
2260;Stall;No_Exercise;O-I-S;3;3;6_S2020;1434;S2020
2260;Stall;No_Exercise;O-I-S;3;3;6_S2020;805;S2020
2260;Stall;No_Exercise;O-I-S;3;3;6_S2020;1297;S2020
2260;Stall;No_Exercise;O-I-S;3;3;6_S2020;1341;S2020
2263;Stall;No_Exercise;I-S-O;2;3;6_S2020;1583;S2020
2263;Stall;No_Exercise;I-S-O;2;3;6_S2020;1589;S2020
2263;Stall;No_Exercise;I-S-O;2;3;6_S2020;1587;S2020
2263;Stall;No_Exercise;I-S-O;2;3;6_S2020;1863;S2020
2263;Stall;No_Exercise;I-S-O;2;3;6_S2020;2570;S2020
2265;Stall;No_Exercise;S-O-I;1;3;6_S2020;752;S2020
2265;Stall;No_Exercise;S-O-I;1;3;6_S2020;481;S2020
2265;Stall;No_Exercise;S-O-I;1;3;6_S2020;605;S2020
2265;Stall;No_Exercise;S-O-I;1;3;6_S2020;648;S2020
2265;Stall;No_Exercise;S-O-I;1;3;6_S2020;640;S2020
3678;Stall;No_Exercise;I-S-O;2;1;2_S2020;408;S2020
3678;Stall;No_Exercise;I-S-O;2;1;2_S2020;480;S2020
3678;Stall;No_Exercise;I-S-O;2;1;2_S2020;672;S2020
3678;Stall;No_Exercise;I-S-O;2;1;2_S2020;457;S2020
3678;Stall;No_Exercise;I-S-O;2;1;2_S2020;466;S2020
3681;Stall;No_Exercise;O-I-S;3;1;2_S2020;1111;S2020
3681;Stall;No_Exercise;O-I-S;3;1;2_S2020;943;S2020
3681;Stall;No_Exercise;O-I-S;3;1;2_S2020;1021;S2020
3681;Stall;No_Exercise;O-I-S;3;1;2_S2020;1093;S2020
747;Stall;No_Exercise;S-O-I;1;1;2_S2020;1112;S2020
747;Stall;No_Exercise;S-O-I;1;1;2_S2020;1212;S2020
747;Stall;No_Exercise;S-O-I;1;1;2_S2020;1066;S2020
747;Stall;No_Exercise;S-O-I;1;1;2_S2020;1413;S2020
747;Stall;No_Exercise;S-O-I;1;1;2_S2020;1190;S2020
749;Stall;No_Exercise;O-S-I;2;3;5_S2020;464;S2020
749;Stall;No_Exercise;O-S-I;2;3;5_S2020;489;S2020
749;Stall;No_Exercise;O-S-I;2;3;5_S2020;428;S2020
749;Stall;No_Exercise;O-S-I;2;3;5_S2020;403;S2020
749;Stall;No_Exercise;O-S-I;2;3;5_S2020;397;S2020
757;Stall;No_Exercise;I-O-S;3;3;5_S2020;531;S2020
757;Stall;No_Exercise;I-O-S;3;3;5_S2020;478;S2020
757;Stall;No_Exercise;I-O-S;3;3;5_S2020;504;S2020
757;Stall;No_Exercise;I-O-S;3;3;5_S2020;439;S2020
767;Stall;No_Exercise;S-I-O;1;3;5_S2020;986;S2020
767;Stall;No_Exercise;S-I-O;1;3;5_S2020;539;S2020
767;Stall;No_Exercise;S-I-O;1;3;5_S2020;838;S2020
767;Stall;No_Exercise;S-I-O;1;3;5_S2020;717;S2020
767;Stall;No_Exercise;S-I-O;1;3;5_S2020;598;S2020
780;Stall;No_Exercise;I-O-S;3;1;1_S2020;602;S2020
780;Stall;No_Exercise;I-O-S;3;1;1_S2020;1147;S2020
780;Stall;No_Exercise;I-O-S;3;1;1_S2020;1013;S2020
780;Stall;No_Exercise;I-O-S;3;1;1_S2020;1277;S2020
8731;Stall;No_Exercise;O-S-I;2;1;1_S2020;654;S2020
8731;Stall;No_Exercise;O-S-I;2;1;1_S2020;541;S2020
8731;Stall;No_Exercise;O-S-I;2;1;1_S2020;619;S2020
8731;Stall;No_Exercise;O-S-I;2;1;1_S2020;503;S2020
8731;Stall;No_Exercise;O-S-I;2;1;1_S2020;534;S2020
8734;Stall;No_Exercise;O-S-I;2;2;4_S2020;635;S2020
8734;Stall;No_Exercise;O-S-I;2;2;4_S2020;495;S2020
8734;Stall;No_Exercise;O-S-I;2;2;4_S2020;648;S2020
8734;Stall;No_Exercise;O-S-I;2;2;4_S2020;729;S2020
8734;Stall;No_Exercise;O-S-I;2;2;4_S2020;722;S2020
8735;Stall;No_Exercise;S-I-O;1;1;1_S2020;1056;S2020
8735;Stall;No_Exercise;S-I-O;1;1;1_S2020;832;S2020
8735;Stall;No_Exercise;S-I-O;1;1;1_S2020;1169;S2020
8735;Stall;No_Exercise;S-I-O;1;1;1_S2020;1253;S2020
8735;Stall;No_Exercise;S-I-O;1;1;1_S2020;1514;S2020
8738;Stall;No_Exercise;S-I-O;1;2;4_S2020;414;S2020
8738;Stall;No_Exercise;S-I-O;1;2;4_S2020;472;S2020
8738;Stall;No_Exercise;S-I-O;1;2;4_S2020;407;S2020
8738;Stall;No_Exercise;S-I-O;1;2;4_S2020;458;S2020
8738;Stall;No_Exercise;S-I-O;1;2;4_S2020;538;S2020
8742;Stall;No_Exercise;I-O-S;3;2;4_S2020;576;S2020
8742;Stall;No_Exercise;I-O-S;3;2;4_S2020;669;S2020
8742;Stall;No_Exercise;I-O-S;3;2;4_S2020;714;S2020
8742;Stall;No_Exercise;I-O-S;3;2;4_S2020;797;S2020
8764;Stall;No_Exercise;O-I-S;3;2;3_S2020;678;S2020
8764;Stall;No_Exercise;O-I-S;3;2;3_S2020;560;S2020
8764;Stall;No_Exercise;O-I-S;3;2;3_S2020;607;S2020
8764;Stall;No_Exercise;O-I-S;3;2;3_S2020;896;S2020
2255;Indoor;Exercise;I-S-O;1;2;3_S2020;992;S2020
2255;Indoor;Exercise;I-S-O;1;2;3_S2020;771;S2020
2255;Indoor;Exercise;I-S-O;1;2;3_S2020;533;S2020
2255;Indoor;Exercise;I-S-O;1;2;3_S2020;645;S2020
2255;Indoor;Exercise;I-S-O;1;2;3_S2020;446;S2020
2260;Indoor;Exercise;O-I-S;2;3;6_S2020;2114;S2020
2260;Indoor;Exercise;O-I-S;2;3;6_S2020;2583;S2020
2260;Indoor;Exercise;O-I-S;2;3;6_S2020;2523;S2020
2260;Indoor;Exercise;O-I-S;2;3;6_S2020;1954;S2020
2260;Indoor;Exercise;O-I-S;2;3;6_S2020;2596;S2020
2263;Indoor;Exercise;I-S-O;1;3;6_S2020;2165;S2020
2263;Indoor;Exercise;I-S-O;1;3;6_S2020;2017;S2020
2263;Indoor;Exercise;I-S-O;1;3;6_S2020;2218;S2020
2263;Indoor;Exercise;I-S-O;1;3;6_S2020;2099;S2020
2263;Indoor;Exercise;I-S-O;1;3;6_S2020;1988;S2020
2265;Indoor;Exercise;S-O-I;3;3;6_S2020;748;S2020
2265;Indoor;Exercise;S-O-I;3;3;6_S2020;859;S2020
2265;Indoor;Exercise;S-O-I;3;3;6_S2020;566;S2020
2265;Indoor;Exercise;S-O-I;3;3;6_S2020;536;S2020
3678;Indoor;Exercise;I-S-O;1;1;2_S2020;765;S2020
3678;Indoor;Exercise;I-S-O;1;1;2_S2020;593;S2020
3678;Indoor;Exercise;I-S-O;1;1;2_S2020;513;S2020
3678;Indoor;Exercise;I-S-O;1;1;2_S2020;661;S2020
3678;Indoor;Exercise;I-S-O;1;1;2_S2020;523;S2020
3681;Indoor;Exercise;O-I-S;2;1;2_S2020;1122;S2020
3681;Indoor;Exercise;O-I-S;2;1;2_S2020;1189;S2020
3681;Indoor;Exercise;O-I-S;2;1;2_S2020;1351;S2020
3681;Indoor;Exercise;O-I-S;2;1;2_S2020;1082;S2020
3681;Indoor;Exercise;O-I-S;2;1;2_S2020;1180;S2020
