Cow_ID;Trt;Trt_details;Trt_order;Week;Period;Block;Size;Sum_Steps;Experiment
2250;Outdoor;Alternatif;S-A-C;2;3;5_S2021;25;708;S2021
2250;Outdoor;Alternatif;S-A-C;2;3;5_S2021;25;691;S2021
2250;Outdoor;Alternatif;S-A-C;2;3;5_S2021;25;580;S2021
2250;Outdoor;Alternatif;S-A-C;2;3;5_S2021;25;581;S2021
2250;Outdoor;Alternatif;S-A-C;2;3;5_S2021;25;562;S2021
2250;Outdoor;Conventionnel;S-A-C;3;3;5_S2021;25;920;S2021
2250;Outdoor;Conventionnel;S-A-C;3;3;5_S2021;25;762;S2021
2250;Outdoor;Conventionnel;S-A-C;3;3;5_S2021;25;622;S2021
2250;Outdoor;Conventionnel;S-A-C;3;3;5_S2021;25;512;S2021
2250;Outdoor;Conventionnel;S-A-C;3;3;5_S2021;25;612;S2021
780;Outdoor;Conventionnel;S-C-A;2;3;6_S2021;25;954;S2021
780;Outdoor;Conventionnel;S-C-A;2;3;6_S2021;25;752;S2021
8734;Outdoor;Alternatif;A-S-C;1;3;6_S2021;25;840;S2021
8734;Outdoor;Alternatif;A-S-C;1;3;6_S2021;25;820;S2021
8734;Outdoor;Alternatif;A-S-C;1;3;6_S2021;25;608;S2021
8734;Outdoor;Alternatif;A-S-C;1;3;6_S2021;25;611;S2021
8742;Outdoor;Conventionnel;C-A-S;1;3;6_S2021;25;1018;S2021
8742;Outdoor;Conventionnel;C-A-S;1;3;6_S2021;25;1240;S2021
8742;Outdoor;Conventionnel;C-A-S;1;3;6_S2021;25;1105;S2021
8742;Outdoor;Conventionnel;C-A-S;1;3;6_S2021;25;1882;S2021
8742;Outdoor;Alternatif;C-A-S;2;3;6_S2021;25;1282;S2021
8742;Outdoor;Alternatif;C-A-S;2;3;6_S2021;25;1711;S2021
8742;Outdoor;Alternatif;C-A-S;2;3;6_S2021;25;1465;S2021
8764;Outdoor;Alternatif;A-C-S;1;3;5_S2021;25;1029;S2021
8764;Outdoor;Alternatif;A-C-S;1;3;5_S2021;25;825;S2021
8764;Outdoor;Alternatif;A-C-S;1;3;5_S2021;25;889;S2021
8764;Outdoor;Alternatif;A-C-S;1;3;5_S2021;25;1429;S2021
8768;Outdoor;Conventionnel;C-S-A;1;3;5_S2021;25;1585;S2021
8768;Outdoor;Conventionnel;C-S-A;1;3;5_S2021;25;1441;S2021
8768;Outdoor;Conventionnel;C-S-A;1;3;5_S2021;25;1546;S2021
8768;Outdoor;Conventionnel;C-S-A;1;3;5_S2021;25;1101;S2021
8768;Outdoor;Conventionnel;C-S-A;1;3;5_S2021;25;1373;S2021
8768;Outdoor;Alternatif;C-S-A;3;3;5_S2021;25;1275;S2021
8768;Outdoor;Alternatif;C-S-A;3;3;5_S2021;25;1111;S2021
8768;Outdoor;Alternatif;C-S-A;3;3;5_S2021;25;1127;S2021
8768;Outdoor;Alternatif;C-S-A;3;3;5_S2021;25;1117;S2021
8768;Outdoor;Alternatif;C-S-A;3;3;5_S2021;25;1160;S2021
2250;Stall;Stall;S-A-C;1;3;5_S2021;2.9;771;S2021
2250;Stall;Stall;S-A-C;1;3;5_S2021;2.9;628;S2021
2250;Stall;Stall;S-A-C;1;3;5_S2021;2.9;547;S2021
2250;Stall;Stall;S-A-C;1;3;5_S2021;2.9;559;S2021
2250;Stall;Stall;S-A-C;1;3;5_S2021;2.9;494;S2021
780;Stall;Stall;S-C-A;1;3;6_S2021;2.9;533;S2021
780;Stall;Stall;S-C-A;1;3;6_S2021;2.9;618;S2021
780;Stall;Stall;S-C-A;1;3;6_S2021;2.9;620;S2021
780;Stall;Stall;S-C-A;1;3;6_S2021;2.9;792;S2021
780;Stall;Stall;S-C-A;1;3;6_S2021;2.9;676;S2021
8734;Stall;Stall;A-S-C;2;3;6_S2021;2.9;131;S2021
8734;Stall;Stall;A-S-C;2;3;6_S2021;2.9;153;S2021
8734;Stall;Stall;A-S-C;2;3;6_S2021;2.9;140;S2021
8734;Stall;Stall;A-S-C;2;3;6_S2021;2.9;159;S2021
8742;Stall;Stall;C-A-S;3;3;6_S2021;2.9;1233;S2021
8742;Stall;Stall;C-A-S;3;3;6_S2021;2.9;909;S2021
8742;Stall;Stall;C-A-S;3;3;6_S2021;2.9;1454;S2021
8742;Stall;Stall;C-A-S;3;3;6_S2021;2.9;815;S2021
8742;Stall;Stall;C-A-S;3;3;6_S2021;2.9;828;S2021
8768;Stall;Stall;C-S-A;2;3;5_S2021;2.9;584;S2021
8768;Stall;Stall;C-S-A;2;3;5_S2021;2.9;656;S2021
8768;Stall;Stall;C-S-A;2;3;5_S2021;2.9;828;S2021
8768;Stall;Stall;C-S-A;2;3;5_S2021;2.9;673;S2021
8768;Stall;Stall;C-S-A;2;3;5_S2021;2.9;630;S2021
