Cow_ID;Trt_details;Trt;Trt_order;Week;Period;Week_Period;Block;Sum_Steps;Experiment
3678;Indoor;Exercise;I-O;1;1;1_1;8_W2020;587;W2020
3678;Indoor;Exercise;I-O;1;1;1_1;8_W2020;650;W2020
3678;Indoor;Exercise;I-O;2;1;2_1;8_W2020;558;W2020
3678;Indoor;Exercise;I-O;3;1;3_1;8_W2020;769;W2020
3678;Indoor;Exercise;I-O;3;1;3_1;8_W2020;639;W2020
3681;Indoor;Exercise;O-I;4;2;1_2;8_W2020;666;W2020
3681;Indoor;Exercise;O-I;4;2;1_2;8_W2020;695;W2020
3681;Indoor;Exercise;O-I;5;2;2_2;8_W2020;1165;W2020
3681;Indoor;Exercise;O-I;5;2;2_2;8_W2020;1251;W2020
3681;Indoor;Exercise;O-I;6;2;3_2;8_W2020;356;W2020
3681;Indoor;Exercise;O-I;6;2;3_2;8_W2020;380;W2020
6127;Indoor;Exercise;I-O;1;1;1_1;9_W2020;360;W2020
6127;Indoor;Exercise;I-O;1;1;1_1;9_W2020;378;W2020
6127;Indoor;Exercise;I-O;2;1;2_1;9_W2020;413;W2020
6127;Indoor;Exercise;I-O;2;1;2_1;9_W2020;422;W2020
6127;Indoor;Exercise;I-O;3;1;3_1;9_W2020;441;W2020
6127;Indoor;Exercise;I-O;3;1;3_1;9_W2020;642;W2020
6129;Indoor;Exercise;S-I;6;2;3_2;9_W2020;1364;W2020
6129;Indoor;Exercise;S-I;6;2;3_2;9_W2020;1183;W2020
752;Indoor;Exercise;I-S;1;1;1_1;7_W2020;373;W2020
752;Indoor;Exercise;I-S;1;1;1_1;7_W2020;403;W2020
752;Indoor;Exercise;I-S;2;1;2_1;7_W2020;601;W2020
752;Indoor;Exercise;I-S;2;1;2_1;7_W2020;345;W2020
752;Indoor;Exercise;I-S;3;1;3_1;7_W2020;385;W2020
752;Indoor;Exercise;I-S;3;1;3_1;7_W2020;353;W2020
754;Indoor;Exercise;O-I;4;2;1_2;7_W2020;457;W2020
754;Indoor;Exercise;O-I;5;2;2_2;7_W2020;947;W2020
754;Indoor;Exercise;O-I;6;2;3_2;7_W2020;657;W2020
754;Indoor;Exercise;O-I;6;2;3_2;7_W2020;671;W2020
762;Indoor;Exercise;I-S;1;1;1_1;6_W2020;557;W2020
762;Indoor;Exercise;I-S;2;1;2_1;6_W2020;992;W2020
762;Indoor;Exercise;I-S;2;1;2_1;6_W2020;784;W2020
762;Indoor;Exercise;I-S;3;1;3_1;6_W2020;787;W2020
762;Indoor;Exercise;I-S;3;1;3_1;6_W2020;857;W2020
