Cow_ID;Trt_details;Trt;Trt_order;Week;Block;Size;Duration_per_day;Sum_Steps;Experiment
419;Outdoor;Exercise;1;1;6_S2019;60;1;2022;S2019
419;Outdoor;Exercise;1;1;6_S2019;60;1;1946;S2019
419;Outdoor;Exercise;1;1;6_S2019;60;1;1973;S2019
419;Outdoor;Exercise;1;1;6_S2019;60;1;1910;S2019
419;Outdoor;Exercise;1;1;6_S2019;60;1;1470;S2019
419;Outdoor;Exercise;1;2;6_S2019;20;2;1358;S2019
419;Outdoor;Exercise;1;2;6_S2019;20;2;1407;S2019
419;Outdoor;Exercise;1;2;6_S2019;20;2;1191;S2019
419;Outdoor;Exercise;1;2;6_S2019;20;2;1646;S2019
419;Outdoor;Exercise;1;3;6_S2019;20;1;1980;S2019
419;Outdoor;Exercise;1;3;6_S2019;20;1;1608;S2019
419;Outdoor;Exercise;1;4;6_S2019;40;1;1194;S2019
419;Outdoor;Exercise;1;4;6_S2019;40;1;1534;S2019
419;Outdoor;Exercise;1;4;6_S2019;40;1;1301;S2019
419;Outdoor;Exercise;1;4;6_S2019;40;1;1223;S2019
419;Outdoor;Exercise;1;4;6_S2019;40;1;1445;S2019
419;Outdoor;Exercise;1;5;6_S2019;40;2;1826;S2019
419;Outdoor;Exercise;1;5;6_S2019;40;2;1903;S2019
419;Outdoor;Exercise;1;5;6_S2019;40;2;1681;S2019
419;Outdoor;Exercise;1;5;6_S2019;40;2;1508;S2019
419;Outdoor;Exercise;1;6;6_S2019;80;1;1552;S2019
419;Outdoor;Exercise;1;6;6_S2019;80;1;744;S2019
419;Outdoor;Exercise;1;6;6_S2019;80;1;1516;S2019
419;Outdoor;Exercise;1;6;6_S2019;80;1;1470;S2019
419;Outdoor;Exercise;1;7;6_S2019;80;2;1662;S2019
419;Outdoor;Exercise;1;7;6_S2019;80;2;1522;S2019
419;Outdoor;Exercise;1;7;6_S2019;80;2;1496;S2019
419;Outdoor;Exercise;1;7;6_S2019;80;2;1868;S2019
419;Outdoor;Exercise;1;8;6_S2019;60;2;1191;S2019
419;Outdoor;Exercise;1;8;6_S2019;60;2;915;S2019
419;Outdoor;Exercise;1;8;6_S2019;60;2;734;S2019
419;Outdoor;Exercise;1;8;6_S2019;60;2;1532;S2019
5258;Outdoor;Exercise;3;1;7_S2019;60;2;1706;S2019
5258;Outdoor;Exercise;3;2;7_S2019;80;2;1049;S2019
5258;Outdoor;Exercise;3;2;7_S2019;80;2;1866;S2019
5258;Outdoor;Exercise;3;2;7_S2019;80;2;641;S2019
5258;Outdoor;Exercise;3;2;7_S2019;80;2;2471;S2019
5258;Outdoor;Exercise;3;3;7_S2019;80;1;2048;S2019
5258;Outdoor;Exercise;3;3;7_S2019;80;1;2098;S2019
5258;Outdoor;Exercise;3;3;7_S2019;80;1;1769;S2019
5258;Outdoor;Exercise;3;3;7_S2019;80;1;1803;S2019
5258;Outdoor;Exercise;3;3;7_S2019;80;1;2382;S2019
5258;Outdoor;Exercise;3;4;7_S2019;40;2;1421;S2019
5258;Outdoor;Exercise;3;4;7_S2019;40;2;1509;S2019
5258;Outdoor;Exercise;3;4;7_S2019;40;2;1356;S2019
5258;Outdoor;Exercise;3;5;7_S2019;40;1;1613;S2019
5258;Outdoor;Exercise;3;5;7_S2019;40;1;1297;S2019
5258;Outdoor;Exercise;3;5;7_S2019;40;1;1205;S2019
5258;Outdoor;Exercise;3;5;7_S2019;40;1;1089;S2019
5258;Outdoor;Exercise;3;6;7_S2019;20;1;903;S2019
5258;Outdoor;Exercise;3;6;7_S2019;20;1;536;S2019
5258;Outdoor;Exercise;3;6;7_S2019;20;1;2104;S2019
5258;Outdoor;Exercise;3;6;7_S2019;20;1;697;S2019
5258;Outdoor;Exercise;3;7;7_S2019;60;2;1098;S2019
5258;Outdoor;Exercise;3;7;7_S2019;60;2;927;S2019
5258;Outdoor;Exercise;3;7;7_S2019;60;2;1637;S2019
5258;Outdoor;Exercise;3;8;7_S2019;80;1;879;S2019
5258;Outdoor;Exercise;3;8;7_S2019;80;1;744;S2019
5258;Outdoor;Exercise;3;8;7_S2019;80;1;555;S2019
5854;Outdoor;Exercise;4;1;3_S2019;40;2;824;S2019
5854;Outdoor;Exercise;4;1;3_S2019;40;2;845;S2019
5854;Outdoor;Exercise;4;1;3_S2019;40;2;985;S2019
5854;Outdoor;Exercise;4;1;3_S2019;40;2;826;S2019
5854;Outdoor;Exercise;4;1;3_S2019;40;2;749;S2019
5854;Outdoor;Exercise;4;2;3_S2019;80;1;771;S2019
5854;Outdoor;Exercise;4;3;3_S2019;80;2;1301;S2019
5854;Outdoor;Exercise;4;3;3_S2019;80;2;1317;S2019
5854;Outdoor;Exercise;4;3;3_S2019;80;2;1025;S2019
5854;Outdoor;Exercise;4;3;3_S2019;80;2;1266;S2019
5854;Outdoor;Exercise;4;3;3_S2019;80;2;1582;S2019
5854;Outdoor;Exercise;4;4;3_S2019;60;2;1146;S2019
5854;Outdoor;Exercise;4;4;3_S2019;60;2;1205;S2019
5854;Outdoor;Exercise;4;4;3_S2019;60;2;1341;S2019
5854;Outdoor;Exercise;4;4;3_S2019;60;2;1109;S2019
5854;Outdoor;Exercise;4;4;3_S2019;60;2;997;S2019
5854;Outdoor;Exercise;4;5;3_S2019;60;1;1397;S2019
5854;Outdoor;Exercise;4;5;3_S2019;60;1;1252;S2019
5854;Outdoor;Exercise;4;5;3_S2019;60;1;1245;S2019
5854;Outdoor;Exercise;4;5;3_S2019;60;1;864;S2019
5854;Outdoor;Exercise;4;5;3_S2019;60;1;834;S2019
5854;Outdoor;Exercise;4;6;3_S2019;20;2;999;S2019
5854;Outdoor;Exercise;4;6;3_S2019;20;2;912;S2019
5854;Outdoor;Exercise;4;6;3_S2019;20;2;726;S2019
5854;Outdoor;Exercise;4;7;3_S2019;20;1;659;S2019
5854;Outdoor;Exercise;4;7;3_S2019;20;1;590;S2019
5854;Outdoor;Exercise;4;7;3_S2019;20;1;595;S2019
5854;Outdoor;Exercise;4;7;3_S2019;20;1;601;S2019
5854;Outdoor;Exercise;4;7;3_S2019;20;1;769;S2019
5854;Outdoor;Exercise;4;8;3_S2019;40;1;1010;S2019
5854;Outdoor;Exercise;4;8;3_S2019;40;1;909;S2019
5854;Outdoor;Exercise;4;8;3_S2019;40;1;530;S2019
5854;Outdoor;Exercise;4;8;3_S2019;40;1;683;S2019
5854;Outdoor;Exercise;4;8;3_S2019;40;1;619;S2019
5857;Outdoor;Exercise;5;1;5_S2019;40;1;1089;S2019
5857;Outdoor;Exercise;5;1;5_S2019;40;1;1037;S2019
5857;Outdoor;Exercise;5;1;5_S2019;40;1;782;S2019
5857;Outdoor;Exercise;5;2;5_S2019;20;1;809;S2019
5857;Outdoor;Exercise;5;2;5_S2019;20;1;677;S2019
5857;Outdoor;Exercise;5;2;5_S2019;20;1;627;S2019
5857;Outdoor;Exercise;5;3;5_S2019;20;2;1552;S2019
5857;Outdoor;Exercise;5;3;5_S2019;20;2;1488;S2019
5857;Outdoor;Exercise;5;3;5_S2019;20;2;1706;S2019
5857;Outdoor;Exercise;5;3;5_S2019;20;2;1426;S2019
5857;Outdoor;Exercise;5;3;5_S2019;20;2;1595;S2019
5857;Outdoor;Exercise;5;4;5_S2019;60;1;1050;S2019
5857;Outdoor;Exercise;5;4;5_S2019;60;1;1203;S2019
5857;Outdoor;Exercise;5;4;5_S2019;60;1;1140;S2019
5857;Outdoor;Exercise;5;4;5_S2019;60;1;1062;S2019
5857;Outdoor;Exercise;5;4;5_S2019;60;1;1204;S2019
5857;Outdoor;Exercise;5;5;5_S2019;60;2;2212;S2019
5857;Outdoor;Exercise;5;5;5_S2019;60;2;1863;S2019
5857;Outdoor;Exercise;5;5;5_S2019;60;2;1785;S2019
5857;Outdoor;Exercise;5;5;5_S2019;60;2;1333;S2019
5857;Outdoor;Exercise;5;6;5_S2019;60;1;1016;S2019
5857;Outdoor;Exercise;5;6;5_S2019;60;1;746;S2019
5857;Outdoor;Exercise;5;6;5_S2019;60;1;722;S2019
5857;Outdoor;Exercise;5;6;5_S2019;60;1;812;S2019
5857;Outdoor;Exercise;5;7;5_S2019;80;1;1295;S2019
5857;Outdoor;Exercise;5;7;5_S2019;80;1;1097;S2019
5857;Outdoor;Exercise;5;7;5_S2019;80;1;1185;S2019
5857;Outdoor;Exercise;5;7;5_S2019;80;1;1022;S2019
5857;Outdoor;Exercise;5;7;5_S2019;80;1;1062;S2019
5857;Outdoor;Exercise;5;8;5_S2019;40;2;1502;S2019
5857;Outdoor;Exercise;5;8;5_S2019;40;2;1126;S2019
5857;Outdoor;Exercise;5;8;5_S2019;40;2;774;S2019
5857;Outdoor;Exercise;5;8;5_S2019;40;2;1392;S2019
5857;Outdoor;Exercise;5;8;5_S2019;40;2;1477;S2019
5865;Outdoor;Exercise;6;1;4_S2019;80;2;1739;S2019
5865;Outdoor;Exercise;6;1;4_S2019;80;2;1518;S2019
5865;Outdoor;Exercise;6;1;4_S2019;80;2;1393;S2019
5865;Outdoor;Exercise;6;1;4_S2019;80;2;1154;S2019
5865;Outdoor;Exercise;6;2;4_S2019;60;2;919;S2019
5865;Outdoor;Exercise;6;2;4_S2019;60;2;761;S2019
5865;Outdoor;Exercise;6;2;4_S2019;60;2;539;S2019
5865;Outdoor;Exercise;6;2;4_S2019;60;2;1347;S2019
5865;Outdoor;Exercise;6;3;4_S2019;60;1;1289;S2019
5865;Outdoor;Exercise;6;3;4_S2019;60;1;1468;S2019
5865;Outdoor;Exercise;6;3;4_S2019;60;1;1180;S2019
5865;Outdoor;Exercise;6;3;4_S2019;60;1;1139;S2019
5865;Outdoor;Exercise;6;3;4_S2019;60;1;1721;S2019
5865;Outdoor;Exercise;6;4;4_S2019;20;2;1099;S2019
5865;Outdoor;Exercise;6;4;4_S2019;20;2;1151;S2019
5865;Outdoor;Exercise;6;4;4_S2019;20;2;1244;S2019
5865;Outdoor;Exercise;6;4;4_S2019;20;2;1057;S2019
5865;Outdoor;Exercise;6;4;4_S2019;20;2;824;S2019
5865;Outdoor;Exercise;6;5;4_S2019;20;1;1005;S2019
5865;Outdoor;Exercise;6;5;4_S2019;20;1;1008;S2019
5865;Outdoor;Exercise;6;5;4_S2019;20;1;640;S2019
5865;Outdoor;Exercise;6;5;4_S2019;20;1;507;S2019
5865;Outdoor;Exercise;6;5;4_S2019;20;1;832;S2019
5865;Outdoor;Exercise;6;6;4_S2019;40;1;1088;S2019
5865;Outdoor;Exercise;6;6;4_S2019;40;1;546;S2019
5865;Outdoor;Exercise;6;6;4_S2019;40;1;1419;S2019
5865;Outdoor;Exercise;6;6;4_S2019;40;1;869;S2019
5865;Outdoor;Exercise;6;7;4_S2019;40;2;927;S2019
5865;Outdoor;Exercise;6;7;4_S2019;40;2;1014;S2019
